id,company_id,complaint_date,category,description,sentiment,severity,status,source
1,12,2025-07-09,loan,My installment amount appears different from the amount agreed in the contract.,negative,low,open,branch
2,15,2025-01-21,billing,A payment was recorded incorrectly on my account.,negative,medium,open,hotline
3,9,2025-12-06,loan,I requested a copy of my loan agreement but have not received it. Customer service handled my request professionally.,positive,medium,open,website
4,15,2026-01-23,billing,A payment was recorded incorrectly on my account.,negative,low,dismissed,website
5,2,2025-07-21,service,I have been waiting too long for a response from the company.,negative,low,resolved,branch
6,4,2025-02-22,billing,A payment was recorded incorrectly on my account.,negative,medium,resolved,website
7,13,2026-04-17,loan,The company contacted me repeatedly about a payment that I already made.,negative,high,resolved,website
8,11,2025-05-15,loan,My installment amount appears different from the amount agreed in the contract. I would like clarification about this transaction.,neutral,low,resolved,website
9,9,2026-07-01,billing,I was billed twice for the same service.,negative,medium,resolved,hotline
10,1,2025-07-26,service,The branch staff gave me conflicting information about my account. Please provide information about the status of my request.,neutral,low,open,website
11,15,2025-04-06,loan,I requested a copy of my loan agreement but have not received it.,negative,low,resolved,branch
12,4,2025-08-31,payment,I was charged after the payment had already been completed.,negative,low,dismissed,hotline
13,2,2025-11-27,billing,There is an incorrect charge on my account.,negative,medium,open,branch
14,7,2025-12-25,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,medium,resolved,social_media
15,6,2026-01-09,service,Customer service did not resolve my issue despite several calls.,negative,medium,open,website
16,9,2025-03-22,service,Customer service did not resolve my issue despite several calls.,negative,low,resolved,hotline
17,17,2025-05-10,payment,The company has not reflected my recent payment correctly.,negative,low,dismissed,website
18,12,2026-09-02,service,I could not get a clear answer regarding the service I requested.,negative,medium,open,hotline
19,6,2026-02-07,service,Customer service did not resolve my issue despite several calls.,negative,medium,resolved,social_media
20,3,2025-12-04,payment,The company has not reflected my recent payment correctly.,negative,low,resolved,branch
21,8,2025-05-24,loan,I requested a copy of my loan agreement but have not received it. Please provide information about the status of my request.,neutral,high,resolved,website
22,16,2025-06-09,billing,A payment was recorded incorrectly on my account.,negative,high,dismissed,hotline
23,9,2026-08-10,insurance,I was charged a premium that does not match the information in my policy. I would like clarification about this transaction.,neutral,medium,resolved,social_media
24,17,2025-12-04,loan,I requested a copy of my loan agreement but have not received it.,negative,medium,dismissed,social_media
25,2,2026-05-19,billing,I was charged a fee that was not clearly disclosed.,negative,medium,open,branch
26,8,2025-01-22,payment,My payment was deducted but the system still shows the amount as unpaid.,negative,medium,resolved,hotline
27,14,2026-09-01,billing,I was charged a fee that was not clearly disclosed.,negative,high,resolved,branch
28,15,2026-05-27,service,My request was closed without solving the problem.,negative,medium,resolved,hotline
29,17,2025-12-15,payment,I was charged after the payment had already been completed.,negative,high,resolved,social_media
30,17,2025-11-19,billing,The invoice contains an amount that I did not authorize. My problem was solved and I received a clear explanation.,positive,low,open,website
31,18,2025-06-04,billing,I was billed twice for the same service. Customer service handled my request professionally.,positive,low,resolved,social_media
32,10,2026-06-22,payment,My payment was deducted but the system still shows the amount as unpaid. I am requesting an update regarding my case.,neutral,medium,resolved,website
